gene_id	T_MT_3	T_MT_2	T_EV_2	T_FB_4	T_FB_2	T_MT_4	T_L6_3	T_L6_2	T_FB_3	T_L6_4	T_EV_3	T_EV_4
WBGene00000001	2038.0	1790.0	1721.0	1650.0	2061.0	2242.0	1537.0	976.0	2203.0	1632.0	2046.0	1860.0
WBGene00000002	119.0	98.0	146.0	71.0	127.0	98.0	115.0	257.0	93.0	122.0	116.0	80.0
WBGene00000003	139.0	218.0	353.0	107.0	334.0	120.0	212.0	342.0	226.0	264.0	160.0	152.0
WBGene00000004	344.0	253.0	396.0	246.0	306.0	324.0	275.0	262.0	343.0	279.0	336.0	317.0
WBGene00000005	183.0	238.0	300.0	155.0	248.0	179.0	182.0	184.0	197.0	232.0	199.0	201.0
WBGene00000006	170.0	216.0	328.0	91.0	338.0	125.0	258.0	366.0	173.0	280.0	205.0	164.0
WBGene00000007	127.0	179.0	213.0	215.0	309.0	87.0	192.0	281.0	140.0	242.0	133.0	102.0
WBGene00000008	29.0	29.0	27.0	9.0	34.0	13.0	16.0	10.0	31.0	13.0	39.0	19.0
WBGene00000009	6.0	9.0	5.0	6.0	11.0	3.0	7.0	32.0	1.0	9.0	5.0	1.0
WBGene00000010	1329.0	1209.0	1424.0	1045.0	1474.0	1528.0	1332.0	726.0	1642.0	1171.0	1346.0	1257.0
WBGene00000012	1.0	5.0	6.0	7.0	1.0	1.0	6.0	4.0	1.0	6.0	1.0	6.0
WBGene00000013	4.0	1.0	0.0	1.0	1.0	1.0	17.0	10.0	5.0	22.0	1.0	1.0
WBGene00000014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	0.0	0.0
WBGene00000015	0.0	2.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
WBGene00000016	34.0	35.0	68.0	3.0	76.0	33.0	121.0	136.0	68.0	147.0	42.0	37.0
WBGene00000017	81.0	94.0	170.0	12.0	151.0	103.0	170.0	193.0	99.0	194.0	93.0	102.0
WBGene00000018	542.0	490.0	429.0	434.0	727.0	592.0	642.0	918.0	458.0	648.0	539.0	520.0
WBGene00000019	35.0	183.0	212.0	125.0	362.0	57.0	290.0	574.0	100.0	335.0	101.0	113.0
WBGene00000020	261.0	331.0	270.0	287.0	643.0	292.0	684.0	1065.0	208.0	710.0	308.0	334.0
WBGene00000021	7.0	24.0	26.0	12.0	57.0	7.0	34.0	90.24	9.0	49.0	5.0	10.0
WBGene00000022	481.0	638.0	503.0	453.0	1125.0	342.0	1008.0	699.0	432.0	1050.0	440.0	428.0
WBGene00000023	38.0	125.0	183.0	79.0	320.0	37.0	272.0	625.0	64.0	300.0	45.0	82.0
WBGene00000024	133.65	394.26	203.78	210.27	1295.56	39.78	852.88	2346.36	110.26	712.46	227.95	259.26
WBGene00000025	1.0	5.0	5.65	1.0	16.0	5.0	7.0	18.0	1.0	1.0	5.0	4.0
WBGene00000026	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0
WBGene00000027	4.0	45.0	28.0	14.0	78.0	7.0	21.86	33.0	8.0	12.0	13.92	18.0
WBGene00000028	0.0	0.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
WBGene00000029	52.17	208.47	148.59	98.65	544.15	30.32	108.88	213.93	57.09	99.8	125.77	116.69
