"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000708","M199.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-135 is an ortholog of human COL9A2, COL19A1 (collagen type XIX alpha 1 chain), and COL9A1\; is predicted to encode a protein with the following domain: Collagen triple helix repeat."
"2","WBGene00003539","T11F9.3","Proteolysis general","Proteolysis general: metallopeptidase","Proteolysis general: metallopeptidase","nas-20 is predicted to have metalloendopeptidase activity and zinc ion binding activity."
"3","WBGene00008390","D1086.3","Unassigned","Unassigned","Unassigned: regulated by multiple stresses","D1086.3 is enriched in the Z1.p, the Z4.a, the epithelial system, and the male distal tip cell based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray, tiling array, RNA-seq, and proteomic studies\; is affected by nineteen chemicals including Heme, methylmercuric chloride, and Tunicamycin based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domains: Domain of unknown function DUF19 and Uncharacterised protein family UPF0376."
"4","WBGene00009215","F28D1.5","Stress response","Stress response: pathogen","Stress response: pathogen: unassigned","thn-2 is involved in defense response to Gram-negative bacterium and defense response to Gram-positive bacterium."
"5","WBGene00009237","F28H7.3","Unassigned","Unassigned","Unassigned: regulated by multiple stresses","F28H7.3 is predicted to have hydrolase activity."
"6","WBGene00017691","F22A3.6","Proteolysis general","Proteolysis general: lysozyme","Proteolysis general: lysozyme","ilys-5 is predicted to have lysozyme activity."
"7","WBGene00017734","F23C8.5","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: unassigned","F23C8.5 is an ortholog of human ETFB\; is predicted to have electron transfer activity\; human orthologs of this gene are implicated in multiple acyl-CoA dehydrogenase deficiency."
"8","WBGene00019368","K03H6.2","Unassigned","Unassigned","Unassigned: regulated by multiple stresses","K03H6.2 is predicted to have hydrolase activity."
"9","WBGene00020674","T22B7.7","Metabolism","Metabolism: lipid","Metabolism: lipid: beta oxidation","T22B7.7 is an ortholog of human ACOT9 (acyl-CoA thioesterase 9)\; is predicted to encode a protein with the following domain: HotDog domain superfamily."
"10","WBGene00021236","Y19D10B.7","Unassigned","Unassigned","Unassigned","pud-1.2 is expressed in the hypodermis and the intestine."
"11","WBGene00021743","Y50D4B.4","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned","Y50D4B.4 is enriched in the OLL, the PVD, the cephalic sheath cell, and the hypodermis based on microarray and tiling array studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, proteomic, and RNA-seq studies\; is affected by fourteen chemicals including Rotenone, Tunicamycin, and manganese chloride based on RNA-seq, microarray, and proteomic studies\; is predicted to encode a protein with the following domains: Peptide N glycanase, PAW domain, Galactose-binding-like domain superfamily, and PAW domain superfamily."
