"","Category","RGS","AC","PValue"
"3","Metabolism: lipid: beta oxidation",4,78,9.64359363577184e-07
"10","Stress response: C-type Lectin",5,256,4.40168353310847e-06
"12","Stress response: pathogen: CUB",1,25,0.0212888518915547
"8","Neuronal function: synaptic function: neurotransmitter receptor",1,37,0.0309552095299549
"2","Metabolism: insulin",1,39,0.0325566053162453
"7","Metabolism: short chain dehydrogenase",1,42,0.0349535480289456
"5","Metabolism: lipid: sterol",1,59,0.0484202271892603
"16","Transmembrane transport: extracellular ligand gated channel",1,59,0.0484202271892603
"1","Extracellular material: matrix",1,67,0.0546898192525701
"4","Metabolism: lipid: fatty acid",1,68,0.0554704965927041
"11","Stress response: detoxification: ugt",1,69,0.0562505044407728
"9","Protein modification: methyltransferase",1,76,0.0616918635429512
"6","Metabolism: mitochondria: ribosome",1,79,0.0640138915720997
"14","Transmembrane protein: seven transmembrane receptor: unassigned",1,155,0.120890686444628
"13","Transcription factor: NHR",1,259,0.192966429694027
"15","Transmembrane protein: unassigned",2,1692,0.405260680440099
"17","Unassigned: regulated by multiple stresses",1,1707,0.74768560179483
