wormbase_id,pq_1,pq_2,pq_3,wt_1,wt_2,wt_3
WBGene00197333,0,0,0,0,0,0
WBGene00198386,0,0,0,0,0,0
WBGene00015153,18,19,13,5,4,5
WBGene00002061,7042,9156,8396,5911,4209,4926
WBGene00255704,3,6,5,6,7,11
WBGene00235314,1,1,3,6,4,5
WBGene00001177,1588,2155,1837,2374,2619,2683
WBGene00169236,0,0,0,1,0,1
WBGene00219784,5,6,2,4,6,2
WBGene00015152,5,3,7,12,16,13
WBGene00015151,0,1,0,0,0,0
WBGene00021413,1,3,2,0,0,0
WBGene00021412,87,83,74,80,72,53
WBGene00021414,1,0,0,0,0,0
WBGene00018976,54,67,42,39,41,32
WBGene00199654,0,0,0,0,0,0
WBGene00200227,0,0,0,0,0,0
WBGene00169451,0,0,0,0,0,0
WBGene00004496,16695,20919,18240,18531,17559,17809
WBGene00018975,2069,2789,2544,1777,1400,1744
WBGene00000480,2013,2668,2324,1694,1493,1419
WBGene00020999,3112,3947,3567,2446,1858,2091
WBGene00021000,462,551,523,409,294,320
WBGene00021004,4269,5533,4909,3639,3039,3545
WBGene00021001,21,29,22,61,85,105
WBGene00044512,20,19,16,28,31,21
WBGene00021003,6,5,8,2,6,5
WBGene00023356,0,0,0,0,0,0
WBGene00005302,0,0,1,1,0,0
WBGene00170056,0,0,0,0,0,0
WBGene00005303,0,1,0,3,0,1
WBGene00021002,80,49,65,180,186,91
WBGene00006648,1982,2449,2290,1617,1177,1415
WBGene00022435,39,74,50,66,73,77
WBGene00022434,1494,1780,1577,1088,782,939
WBGene00235163,34,33,29,23,24,40
WBGene00201724,0,0,0,0,0,0
WBGene00202280,0,0,0,0,0,0
WBGene00000838,4290,5866,5106,4243,3477,3991
WBGene00044689,3948,5373,4981,3149,2186,2716
WBGene00077643,318,452,368,291,267,262
WBGene00017080,1044,1380,1212,1174,1097,1219
WBGene00017082,158,240,206,265,336,327
WBGene00005299,2,0,2,2,1,1
WBGene00005301,0,0,0,0,0,0
WBGene00005298,0,1,0,1,0,1
WBGene00017083,71,69,59,32,17,22
WBGene00019814,12,10,13,4,5,4
WBGene00019817,12,24,15,7,2,7
WBGene00019818,35,16,18,68,89,26
WBGene00255728,16,11,9,45,103,107
WBGene00019815,11,9,22,6,4,6
WBGene00006419,0,0,1,0,0,0
WBGene00006172,0,4,1,0,2,1
WBGene00019816,96,107,122,198,229,226
WBGene00021981,16,12,3,23,30,10
WBGene00044513,25,33,11,34,42,26
WBGene00021983,135,179,164,157,145,211
WBGene00018010,1358,1677,1427,913,571,785
WBGene00018011,2288,2875,2729,1727,1269,1524
WBGene00018013,1278,1711,1528,1001,733,867
WBGene00219932,3,1,2,1,2,3
WBGene00003614,43,58,53,48,56,42
WBGene00000022,479,640,522,1095,1253,1279
WBGene00044750,0,0,0,0,0,0
WBGene00020708,17,27,14,23,25,34
WBGene00020707,41,38,45,205,330,381
WBGene00020706,1354,1798,1585,1649,1418,1406
WBGene00020705,1962,2283,2052,1558,1293,1456
WBGene00021450,4,2,3,1,1,6
WBGene00021449,1,9,8,6,3,1
WBGene00196358,0,0,0,0,1,0
WBGene00021451,12,13,14,16,13,6
WBGene00201032,0,0,0,0,0,0
WBGene00022643,57,124,91,251,112,240
WBGene00022642,5747,6231,6431,9396,9032,10117
WBGene00022641,9,16,24,58,47,61
WBGene00022640,2,3,0,0,1,0
WBGene00022639,2,1,3,1,0,1
WBGene00022638,27,22,19,13,8,5
WBGene00005284,0,0,0,0,0,0
WBGene00022637,0,0,0,0,0,0
WBGene00022636,0,0,0,0,0,0
WBGene00219773,0,2,0,1,3,1
WBGene00022644,1552,2239,2014,2183,2948,3022
WBGene00022645,4317,7116,5304,7827,9812,10209
WBGene00021448,124,170,152,161,236,331
WBGene00015259,2,6,3,4,1,7
WBGene00015258,9,8,9,20,16,17
WBGene00015257,1,0,0,3,0,1
WBGene00015255,0,0,0,0,0,0
WBGene00170618,0,0,0,0,0,0
WBGene00015260,5,6,9,7,5,6
WBGene00015254,0,0,0,1,0,0
WBGene00005256,4,2,4,4,1,4
WBGene00005257,1,0,1,0,0,1
WBGene00005258,3,4,8,5,2,3
WBGene00019744,358,524,865,397,410,770
WBGene00003713,22,16,47,36,24,13
WBGene00003688,59,90,72,156,169,171
WBGene00019743,115,123,123,180,171,147
WBGene00019742,108,113,97,252,249,175
WBGene00019741,38,46,45,70,80,70
WBGene00019745,0,0,0,0,0,0
WBGene00019740,0,0,0,0,0,0
WBGene00003689,81,86,64,60,76,64
WBGene00003645,118,166,133,126,156,174
WBGene00003720,123,132,97,175,203,237
WBGene00166752,0,0,0,0,0,0
WBGene00020153,94,124,101,190,194,182
WBGene00020152,40,51,41,73,88,81
WBGene00003696,51,69,77,126,141,149
WBGene00006233,0,0,1,2,2,4
WBGene00003721,119,157,109,227,255,289
WBGene00020151,5,4,2,4,7,2
WBGene00006282,0,0,0,0,0,0
WBGene00020154,1,1,4,3,1,0
WBGene00004144,105,97,100,78,77,63
WBGene00020014,12,3,0,0,0,0
WBGene00005851,0,0,0,0,0,0
WBGene00005260,0,0,2,0,0,0
WBGene00005852,1,0,0,2,0,2
WBGene00005853,0,0,0,0,0,0
WBGene00020015,55,93,73,79,95,97
WBGene00005854,0,0,0,0,0,0
WBGene00020016,10,13,13,8,14,8
WBGene00255729,0,0,0,0,0,0
WBGene00006119,0,0,0,0,0,0
WBGene00005855,0,0,0,0,0,0
WBGene00005600,1,0,0,0,0,0
WBGene00020013,0,0,0,0,0,0
WBGene00003648,71,102,62,175,171,190
WBGene00003722,126,151,118,151,190,162
WBGene00015759,251,260,293,570,568,511
WBGene00015758,0,2,0,0,0,1
WBGene00015757,0,0,0,0,0,0
WBGene00015760,0,0,0,0,0,0
WBGene00015761,0,0,0,0,0,0
WBGene00015762,0,0,0,0,0,0
WBGene00005899,1,2,0,1,0,0
WBGene00005898,1,0,0,1,0,1
WBGene00015756,153,202,149,306,352,177
WBGene00005585,0,0,1,1,0,1
WBGene00005584,0,0,0,0,0,0
WBGene00015763,13,14,12,8,19,6
WBGene00015764,0,1,1,0,0,0
WBGene00019453,1,0,0,4,3,5
WBGene00019452,0,0,0,0,0,0
WBGene00019451,0,0,0,0,0,0
WBGene00199860,0,0,0,0,0,0
WBGene00019454,0,0,0,0,0,0
WBGene00019450,0,0,0,0,0,0
WBGene00165423,0,0,0,0,0,0
WBGene00019449,0,0,0,0,0,0
WBGene00022758,0,0,0,0,0,0
WBGene00022757,0,0,0,0,0,0
WBGene00022756,0,1,0,2,1,0
WBGene00004177,2,0,4,0,1,1
WBGene00005857,0,0,0,0,0,0
WBGene00005856,0,0,0,1,0,0
WBGene00023402,0,0,0,0,0,0
WBGene00004176,1,2,3,0,0,0
WBGene00003680,154,209,169,273,327,340
WBGene00022755,6,2,6,7,8,4
WBGene00018624,8,4,5,6,25,15
WBGene00018615,106,127,114,133,71,88
WBGene00018616,11,6,2,0,0,4
WBGene00018617,0,0,0,0,0,0
WBGene00018618,0,0,0,0,0,1
WBGene00018619,1,0,0,0,1,1
WBGene00018620,0,3,1,3,1,2
WBGene00255730,1,1,1,1,1,3
WBGene00003673,39,62,28,76,79,70
WBGene00018621,17,12,11,17,19,16
WBGene00018614,8,12,11,11,6,9
WBGene00005621,0,1,0,0,0,0
WBGene00018622,83,106,94,88,102,88
WBGene00018623,0,1,0,3,5,9
WBGene00197369,0,0,0,0,0,0
WBGene00017959,5,10,13,22,28,15
WBGene00005593,0,0,0,0,0,0
WBGene00005594,0,1,0,0,0,1
WBGene00005451,0,1,0,0,0,3
WBGene00005452,0,2,1,0,0,0
WBGene00017963,1,1,0,0,0,1
WBGene00005320,0,1,0,0,2,1
WBGene00017960,1,1,0,0,1,0
WBGene00005472,0,0,0,0,1,0
WBGene00017961,50,70,65,67,61,69
WBGene00005687,0,3,0,3,6,1
