"Category","RGS","AC","PValue","Bonferroni"
"Unassigned: regulated by multiple stresses",471,1707,5.04232986146871e-97,9.88296652847867e-95
"Transmembrane protein: unassigned",341,1692,2.4118514294284e-46,4.72722880167966e-44
"Cytoskeleton: microtubule: tau tubulin kinase",67,74,7.10716262994407e-39,1.39300387546904e-36
"Signaling: phosphatase: Y ",64,90,6.27866854450191e-33,1.23061903472237e-30
"Major sperm protein",30,31,7.01482568493258e-19,1.37490583424679e-16
"Signaling: phosphatase: unassigned",38,98,1.17654003068979e-13,2.30601846015199e-11
"Signaling: Y kinase",32,73,7.05395544235405e-13,1.38257526670139e-10
"Stress response: detoxification: CYP",23,82,8.93516795288629e-07,0.000175129291876571
"Unassigned: membrane spanning domain",40,210,1.04779280268243e-06,0.000205367389325756
"Transmembrane transport: solute carrier",35,197,1.72620382128352e-05,0.0033833594897157
