"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000024","AC3.3","Stress response","Stress response: ER","Stress response: ER","abu-1 is involved in endoplasmic reticulum unfolded protein response\; localizes to the integral component of endoplasmic reticulum membrane\; is expressed in the pharynx."
"2","WBGene00000029","C03A7.7","Unassigned","Unassigned","Unassigned","abu-6 is involved in pharynx development\; is expressed in the pharyngeal muscle cell."
"3","WBGene00000030","C03A7.8","Unassigned","Unassigned","Unassigned","abu-7 is involved in pharynx development\; is expressed in the grinder."
"4","WBGene00000031","C03A7.14","Unassigned","Unassigned","Unassigned","abu-8 is involved in pharynx development."
"5","WBGene00000033","F35A5.3","Stress response","Stress response: ER","Stress response: ER","abu-10 is involved in endoplasmic reticulum unfolded protein response."
"6","WBGene00000251","C09G5.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","bli-1 is an ortholog of human COL24A1 (collagen type XXIV alpha 1 chain) and SFTPD (surfactant protein D)\; is predicted to be a structural constituent of collagen and cuticulin-based cuticle\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle\; localizes to the medial layer of collagen and cuticulin-based cuticle extracellular matrix\; is expressed in the hyp7 syncytium and the seam cell."
"7","WBGene00000252","F59E12.12","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","bli-2 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of collagen and cuticulin-based cuticle\; is involved in collagen and cuticulin-based cuticle development."
"8","WBGene00000301","T13F2.8","Signaling","Signaling: caveolin","Signaling: caveolin","cav-1 is an ortholog of human CAV1, CAV2, and CAV3\; is predicted to have protein-containing complex scaffold activity\; is involved in Ras protein signal transduction, meiotic cell cycle, and regulation of oviposition\; localizes to the cytoplasm, cytoplasmic vesicle, and plasma membrane part\; is expressed in several tissues, including germ cells, the embryonic cell, the nervous system, the pharynx, and the tail."
"9","WBGene00000387","F16B4.8","Cell cycle","Cell cycle: phosphatase","Cell cycle: phosphatase","cdc-25.2 is an ortholog of human CDC25A (cell division cycle 25A), CDC25B (cell division cycle 25B), and CDC25C (cell division cycle 25C)\; is predicted to have protein tyrosine phosphatase activity\; is expressed in several tissues, including the alimentary system, the epithelial system, the male, the nervous system, and the reproductive system."
"10","WBGene00000388","ZK637.11","Cell cycle","Cell cycle: phosphatase","Cell cycle: phosphatase","cdc-25.3 is an ortholog of human CDC25A (cell division cycle 25A), CDC25B (cell division cycle 25B), and CDC25C (cell division cycle 25C)\; is predicted to have phosphoprotein phosphatase activity\; localizes to the nucleus."
"11","WBGene00000422","F08F1.5","Transmembrane transport","Transmembrane transport: unassigned","Transmembrane transport: unassigned","ced-8 is an ortholog of human XKR4 (XK related 4), XKR6 (XK related 6), and XKR7 (XK related 7)\; is involved in several processes, including apoptotic process involved in development, embryo development, and engulfment of apoptotic cell\; localizes to the plasma membrane."
"12","WBGene00000444","T26C11.6","Transcription factor","Transcription factor: homeodomain","Transcription factor: homeodomain","ceh-21 is an ortholog of human ONECUT1 (one cut homeobox 1), ONECUT2 (one cut homeobox 2), and ONECUT3\; is predicted to have DNA binding activity\; is expressed in several tissues, including the ABalaaaa, the ABalaaaal, the ABalaaaar, the ABalaaap, and the ABalaaapa."
"13","WBGene00000457","C37E2.4","Transcription factor","Transcription factor: homeodomain","Transcription factor: homeodomain","ceh-36 is an ortholog of human CRX (cone-rod homeobox), OTX1 (orthodenticle homeobox 1), and OTX2 (orthodenticle homeobox 2)\; exhibits RNA polymerase II regulatory region sequence-specific DNA binding activity\; is involved in neuron fate specification, positive regulation of transcription by RNA polymerase II, and sensory perception of chemical stimulus\; localizes to the nucleus\; is expressed in several tissues, including the ABalpappa, the ABalpappaa, the ABalpappap, the ABalpappp, and the head."
"14","WBGene00000460","T26C11.7","Transcription factor","Transcription factor: bZIP","Transcription factor: bZIP","ceh-39 is an ortholog of human ONECUT1 (one cut homeobox 1), ONECUT2 (one cut homeobox 2), and ONECUT3\; is predicted to have DNA binding activity\; is involved in negative regulation of transcription by RNA polymerase II and primary sex determination\; localizes to the condensed nuclear chromosome and germ cell nucleus\; is expressed in several tissues, including the body wall musculature, the nervous system, and the reproductive system."
"15","WBGene00000461","F17A2.5","Transcription factor","Transcription factor: homeodomain","Transcription factor: homeodomain","ceh-40 is an ortholog of human PBX1 (PBX homeobox 1), PBX3 (PBX homeobox 3), and PBX4 (PBX homeobox 4)\; is predicted to have DNA binding activity and DNA-binding activity transcription factor activity\; is expressed in the head, the nervous system, and the sensillum."
"16","WBGene00000462","T26C11.5","Transcription factor","Transcription factor: homeodomain","Transcription factor: homeodomain","ceh-41 is an ortholog of human HINFP (histone H4 transcription factor)\; is predicted to have DNA binding activity\; is expressed in several tissues, including the epithelial system, the hyp7 precursor cell, the muscular system, the nervous system, and the ventral cord blast cell."
"17","WBGene00000465","C07G2.1","Extracellular material","Extracellular material: PGI","Extracellular material: PGI","cpg-1 exhibits chitin binding activity\; is involved in several processes, including eggshell formation, embryo development, and mitotic cytokinesis\; localizes to the external encapsulating structure\; is expressed in the eggshell and the germ line."
"18","WBGene00000469","ZK909.4","Transcription factor","Transcription factor: bZIP","Transcription factor: bZIP","ces-2 is an ortholog of human DBP (D-box binding PAR bZIP transcription factor), HLF (HLF, PAR bZIP transcription factor), and TEF (TEF, PAR bZIP transcription factor)\; exhibits RNA polymerase II regulatory region DNA binding activity and sequence-specific double-stranded DNA binding activity\; is involved in apoptotic process and positive regulation of programmed cell death\; is expressed in the excretory duct cell\; is used to study acute lymphocytic leukemia."
"19","WBGene00000473","F46F11.2","mRNA functions","mRNA functions: processing","mRNA functions: processing: cold shock","cey-2 is an ortholog of human YBX1 (Y-box binding protein 1), YBX2 (Y-box binding protein 2), and YBX3 (Y-box binding protein 3)\; is predicted to have DNA binding activity\; localizes to the ribonucleoprotein complex\; is expressed in the germ line, the pharynx, and the somatic cell."
"20","WBGene00000496","T25G3.2","Metabolism","Metabolism: amino sugar","Metabolism: amino sugar","chs-1 is predicted to have chitin synthase activity\; is involved in cell wall chitin biosynthetic process, eggshell formation, and positive regulation of protein localization to cell cortex\; localizes to the cell cortex and plasma membrane."
"21","WBGene00000503","C04F6.3","Extracellular material","Extracellular material: chitinase","Extracellular material: chitinase","cht-1 is an ortholog of human CHI3L2 (chitinase 3 like 2), CHIA (chitinase, acidic), and OVGP1\; is predicted to have chitin binding activity and chitinase activity\; is involved in response to fungus\; is expressed in the gonad\; human orthologs of this gene are implicated in schizophrenia."
