"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000002","F27C8.1","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","aat-1 is an ortholog of human SLC7A5 (solute carrier family 7 member 5) and SLC7A8 (solute carrier family 7 member 8)\; contributes to L-amino acid transmembrane transporter activity\; is involved in amino acid transmembrane transport\; localizes to the amino acid transport complex\; is expressed in several tissues, including the alimentary system, the excretory system, the nervous system, the reproductive system, and the tail\; human orthologs of this gene are implicated in lysinuric protein intolerance."
"2","WBGene00000019","C24F3.5","Transmembrane transport","Transmembrane transport: ABC","Transmembrane transport: ABC","abt-1 is predicted to have ATP binding activity and ATPase activity, coupled to transmembrane movement of substances\; is involved in RNA interference."
"3","WBGene00000021","F55G11.9","Pseudogene","Pseudogene","Pseudogene","abt-3 is enriched in the male based on RNA-seq studies\; is affected by several genes including eat-2, sir-2.1, and npr-1 based on RNA-seq, tiling array, and microarray studies\; is affected by four chemicals including Tunicamycin, manganese chloride, and multi-walled carbon nanotube based on microarray and RNA-seq studies."
"4","WBGene00000022","Y39D8C.1","Transmembrane transport","Transmembrane transport: ABC","Transmembrane transport: ABC","abt-4 is an ortholog of human ABCA3 (ATP binding cassette subfamily A member 3)\; is predicted to have ATP binding activity and ATPase activity, coupled to transmembrane movement of substances\; is expressed in several tissues, including the alimentary system, the epithelial system, the head, the nervous system, and the tail\; human orthologs of this gene are implicated in pulmonary alveolar proteinosis."
"5","WBGene00000023","Y53C10A.9","Transmembrane transport","Transmembrane transport: ABC","Transmembrane transport: ABC","abt-5 is an ortholog of human ABCA12 (ATP binding cassette subfamily A member 12), ABCA13 (ATP binding cassette subfamily A member 13), and ABCA3 (ATP binding cassette subfamily A member 3)\; is predicted to have ATP binding activity and ATPase activity, coupled to transmembrane movement of substances\; is expressed in the head, the intestine, and the rectal gland cell."
"6","WBGene00000103","F28H6.1","Signaling","Signaling: AKT","Signaling: AKT","akt-2 is an ortholog of human AKT1 (AKT serine\/threonine kinase 1), AKT2 (AKT serine\/threonine kinase 2), and AKT3 (AKT serine\/threonine kinase 3)\; exhibits phosphatidylinositol-3,4,5-trisphosphate binding activity and protein serine\/threonine kinase activity\; is involved in several processes, including cellular protein modification process, determination of adult lifespan, and insulin receptor signaling pathway\; is expressed in several tissues, including the alimentary system, the epithelial system, the excretory canal, the nervous system, and the reproductive system\; human orthologs of this gene are implicated in several diseases, including Cowden disease, Proteus syndrome, and breast cancer."
"7","WBGene00000171","Y69E1A.7","Transmembrane transport","Transmembrane transport: aquaporin","Transmembrane transport: aquaporin","aqp-3 is an ortholog of human AQP10 (aquaporin 10) and AQP9 (aquaporin 9)\; exhibits water channel activity\; is involved in glycerol transport and water transport\; is expressed in the excretory cell, the intestine, and vas deferens."
"8","WBGene00000177","K07A1.16","Transmembrane transport","Transmembrane transport: aquaporin","Transmembrane transport: aquaporin","aqp-9 is an ortholog of human AQP11 (aquaporin 11), AQP12A (aquaporin 12A), and AQP12B (aquaporin 12B)\; is predicted to encode a protein with the following domain: Aquaporin-like."
"9","WBGene00000188","F19H8.3","Signaling","Signaling: small GTPase","Signaling: small GTPase: ARF","arl-3 is an ortholog of human ARL3 (ADP ribosylation factor like GTPase 3)\; is predicted to have GTP binding activity\; is expressed in head neurons and tail neurons."
"10","WBGene00000214","Y39B6A.20","Proteolysis general","Proteolysis general: aspartate","Proteolysis general: aspartate: cathepsin","asp-1 is an ortholog of human PGA4, NAPSA, and PGA5\; is predicted to have aspartic-type endopeptidase activity\; localizes to the cytoplasm and external side of apical plasma membrane\; is expressed in the intestine."
"11","WBGene00000215","T18H9.2","Proteolysis general","Proteolysis general: aspartate","Proteolysis general: aspartate: unassigned","asp-2 is an ortholog of human PGA4, NAPSA, and PGA5\; is predicted to have aspartic-type endopeptidase activity."
"12","WBGene00000216","H22K11.1","Proteolysis general","Proteolysis general: aspartate","Proteolysis general: aspartate: unassigned","asp-3 is an ortholog of human PGA4, NAPSA, and PGA5\; is predicted to have aspartic-type endopeptidase activity\; is involved in necrotic cell death\; localizes to the lysosome\; is expressed in the intestine and uterus."
"13","WBGene00000224","F26D10.9","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","atgp-1 is an ortholog of human SLC3A1 (solute carrier family 3 member 1)\; is predicted to have catalytic activity\; localizes to the plasma membrane."
"14","WBGene00000237","Y71F9AR.1","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned","bam-2 localizes to the integral component of plasma membrane\; is expressed in head neurons, tail neurons, the somatic gonad, the vulF, and ventral cord neurons."
"15","WBGene00000239","C05D2.4","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neurotransmitter metabolism","bas-1 is an ortholog of human Ddc\; is predicted to have L-dopa decarboxylase activity\; is involved in several processes, including locomotion involved in locomotory behavior, oviposition, and phenol-containing compound biosynthetic process\; is expressed in several tissues, including the nervous system."
"16","WBGene00000298","F32G8.6","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neurotransmitter metabolism","cat-4 is an ortholog of human GCH1\; exhibits GTP cyclohydrolase I activity\; is involved in dopamine biosynthetic process from tyrosine, melanin biosynthetic process, and tetrahydrobiopterin biosynthetic process\; is expressed in several tissues, including the alimentary system, the hyp7 syncytium, the muscular system, and the nervous system\; human orthologs of this gene are implicated in dystonia 5."
"17","WBGene00000389","R05H5.2","Signaling","Signaling: phosphatase","Signaling: phosphatase: dual specificity","cdc-25.4 is an ortholog of human CDC25A (cell division cycle 25A), CDC25B (cell division cycle 25B), and CDC25C (cell division cycle 25C)\; is predicted to have protein tyrosine phosphatase activity."
"18","WBGene00000477","C18C4.2","Transmembrane transport","Transmembrane transport: ABC","Transmembrane transport: ABC","cft-1 is an ortholog of human ABCC2 (ATP binding cassette subfamily C member 2) and ABCC3 (ATP binding cassette subfamily C member 3)\; is predicted to have ATP binding activity and ATPase activity, coupled to transmembrane movement of substances\; is expressed in the excretory cell."
