"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000115","F01F1.6","Metabolism","Metabolism: short chain dehydrogenase","Metabolism: short chain dehydrogenase","alh-9 is an ortholog of human ALDH7A1 (aldehyde dehydrogenase 7 A1)\; is predicted to have aldehyde dehydrogenase (NAD) activity\; is expressed in the ABa and the seam cell."
"2","WBGene00000298","F32G8.6","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neurotransmitter metabolism","cat-4 is an ortholog of human GCH1\; exhibits GTP cyclohydrolase I activity\; is involved in dopamine biosynthetic process from tyrosine, melanin biosynthetic process, and tetrahydrobiopterin biosynthetic process\; is expressed in several tissues, including the alimentary system, the hyp7 syncytium, the muscular system, and the nervous system\; human orthologs of this gene are implicated in dystonia 5."
"3","WBGene00000525","T05A10.2","Cytoskeleton","Cytoskeleton: claudin","Cytoskeleton: claudin","clc-4 is enriched in the male based on RNA-seq studies\; is affected by several genes including daf-12, sir-2.1, and hpl-2 based on microarray and RNA-seq studies\; is affected by hydrogen sulfide, Zidovudine, and Colistin based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domain: Tight junction protein, claudin-like."
"4","WBGene00000596","C15A11.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-7 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the seam cell."
"5","WBGene00000620","ZC513.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-43 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle\; is expressed in the hypodermis."
"6","WBGene00000638","C15A11.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-62 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"7","WBGene00000657","F38A3.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-81 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"8","WBGene00000663","W05G11.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-88 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"9","WBGene00000694","Y11D7A.11","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-120 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"10","WBGene00000700","F54D1.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-126 is predicted to be a structural constituent of cuticle."
"11","WBGene00000708","M199.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-135 is an ortholog of human COL9A2, COL19A1 (collagen type XIX alpha 1 chain), and COL9A1\; is predicted to encode a protein with the following domain: Collagen triple helix repeat."
"12","WBGene00000710","Y51H4A.9","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-137 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"13","WBGene00000725","F32G8.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-152 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"14","WBGene00000988","F09E10.3","Metabolism","Metabolism: lipid","Metabolism: lipid: sterol","dhs-25 is an ortholog of human HSD17B8 (hydroxysteroid 17-beta dehydrogenase 8)\; human HSD17B8 exhibits NADH binding activity and oxidoreductase activity."
"15","WBGene00001040","T23B12.7","Chaperone","Chaperone: DnaJ domain","Chaperone: DnaJ domain","dnj-22 is an ortholog of human DNAJC17 (DnaJ heat shock protein family (Hsp40) member C17)\; is predicted to encode a protein with the following domains: DnaJ domain, Nucleotide-binding alpha-beta plait domain superfamily, and Chaperone J-domain superfamily."
"16","WBGene00001044","Y39C12A.8","Chaperone","Chaperone: DnaJ domain","Chaperone: DnaJ domain","dnj-26 is an ortholog of human DNAJC18 (DnaJ heat shock protein family (Hsp40) member C18), DNAJB12 (DnaJ heat shock protein family (Hsp40) member B12), and DNAJB14 (DnaJ heat shock protein family (Hsp40) member B14)\; human DNAJB12 exhibits Hsp70 protein binding activity."
"17","WBGene00001155","T05G5.6","Metabolism","Metabolism: lipid","Metabolism: lipid: beta oxidation","ech-6 is an ortholog of human ECHS1\; is predicted to have enoyl-CoA hydratase activity\; localizes to the mitochondrion."
"18","WBGene00001164","F15A2.5","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned","efn-3 is an ortholog of human EFNB1 (ephrin B1), EFNB2 (ephrin B2), and EFNB3 (ephrin B3)\; human orthologs of this gene are implicated in craniofrontonasal syndrome\; human EFNB2 exhibits ephrin receptor binding activity and protein tyrosine kinase activity."
"19","WBGene00001165","F56A11.3","Development","Development: somatic","Development: somatic","efn-4 is an ortholog of human EFNB1 (ephrin B1), EFNB2 (ephrin B2), and EFNB3 (ephrin B3)\; is involved in several processes, including embryo development, embryonic morphogenesis, and nematode male tail tip morphogenesis\; localizes to the axon and neuronal cell body\; is expressed in several tissues, including the alimentary system, the hypodermal cell, the nervous system, and the vulval cell\; human orthologs of this gene are implicated in craniofrontonasal syndrome."
"20","WBGene00001303","F32D8.6","Trafficking","Trafficking: unassigned","Trafficking: unassigned","emo-1 is an ortholog of human SEC61G\; is predicted to have P-P-bond-hydrolysis-driven protein transmembrane transporter activity\; is involved in oocyte growth and ovulation\; localizes to the cell\; is expressed in the germ line and the head."
"21","WBGene00001399","F10D2.9","Metabolism","Metabolism: lipid","Metabolism: lipid: fatty acid","fat-7 is an ortholog of human SCD (stearoyl-CoA desaturase) and SCD5 (stearoyl-CoA desaturase 5)\; exhibits stearoyl-CoA 9-desaturase activity\; is involved in fatty acid biosynthetic process and multicellular organism development\; is expressed in the intestine."
"22","WBGene00001590","C45G3.3","Metabolism","Metabolism: lipid","Metabolism: lipid: binding","C45G3.3 is an ortholog of human LIPT1\; is predicted to encode a protein with the following domain: Lipoyltransferase\/lipoate-protein ligase."
"23","WBGene00001912","K03A1.6","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-38 is an ortholog of human HIST1H4H (histone cluster 1 H4 h), HIST1H4I (histone cluster 1 H4 i), and HIST1H4K (histone cluster 1 H4 k)\; is predicted to have DNA binding activity and protein heterodimerization activity\; is involved in positive regulation of transcription by RNA polymerase II."
"24","WBGene00001922","B0035.8","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-48 is an ortholog of human HIST3H2BB (histone cluster 3 H2B b), HIST1H2BB (histone cluster 1 H2B b), and HIST1H2BJ (histone cluster 1 H2B j)\; is predicted to have DNA binding activity and protein heterodimerization activity\; is involved in innate immune response\; is expressed in the gonad."
"25","WBGene00001932","F54E12.4","Transcription: chromatin","Transcription: chromatin structure","Transcription: chromatin structure: histone","his-58 is an ortholog of human HIST1H2BF (histone cluster 1 H2B f), HIST3H2BB (histone cluster 3 H2B b), and HIST1H2BB (histone cluster 1 H2B b)\; is predicted to have DNA binding activity and protein heterodimerization activity."
