"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000013","C50F2.10","Stress response","Stress response: pathogen","Stress response: pathogen: ASABF","abf-2 is involved in defense response to Gram-negative bacterium and defense response to Gram-positive bacterium\; is expressed in pharyngeal neurons, the excretory cell, and the marginal cell."
"2","WBGene00000016","T22H6.5","Stress response","Stress response: pathogen","Stress response: pathogen: ASABF","abf-5 is enriched in the FLP based on microarray studies\; is affected by several genes including daf-16, daf-2, and skn-1 based on microarray, tiling array, and RNA-seq studies\; is affected by six chemicals including resveratrol, Quercetin, and Hydrolyzable Tannins based on microarray studies."
"3","WBGene00000019","C24F3.5","Transmembrane transport","Transmembrane transport: ABC","Transmembrane transport: ABC","abt-1 is predicted to have ATP binding activity and ATPase activity, coupled to transmembrane movement of substances\; is involved in RNA interference."
"4","WBGene00000020","F12B6.1","Transmembrane transport","Transmembrane transport: ABC","Transmembrane transport: ABC","abt-2 is an ortholog of human ABCA2 (ATP binding cassette subfamily A member 2)\; is predicted to have ATP binding activity and ATPase activity, coupled to transmembrane movement of substances\; human orthologs of this gene are implicated in Tangier disease, familial hypercholesterolemia, and retinal degeneration (multiple)."
"5","WBGene00000023","Y53C10A.9","Transmembrane transport","Transmembrane transport: ABC","Transmembrane transport: ABC","abt-5 is an ortholog of human ABCA12 (ATP binding cassette subfamily A member 12), ABCA13 (ATP binding cassette subfamily A member 13), and ABCA3 (ATP binding cassette subfamily A member 3)\; is predicted to have ATP binding activity and ATPase activity, coupled to transmembrane movement of substances\; is expressed in the head, the intestine, and the rectal gland cell."
"6","WBGene00000024","AC3.3","Stress response","Stress response: ER","Stress response: ER","abu-1 is involved in endoplasmic reticulum unfolded protein response\; localizes to the integral component of endoplasmic reticulum membrane\; is expressed in the pharynx."
"7","WBGene00000031","C03A7.14","Unassigned","Unassigned","Unassigned","abu-8 is involved in pharynx development."
"8","WBGene00000033","F35A5.3","Stress response","Stress response: ER","Stress response: ER","abu-10 is involved in endoplasmic reticulum unfolded protein response."
"9","WBGene00000034","T01D1.6","Stress response","Stress response: ER","Stress response: ER","abu-11 is involved in endoplasmic reticulum unfolded protein response."
"10","WBGene00000039","C42D8.5","Development","Development: somatic","Development: somatic","acn-1 is an ortholog of human ACE2\; is predicted to have metallopeptidase activity and peptidyl-dipeptidase activity\; is involved in ecdysis, collagen and cuticulin-based cuticle, nematode male tail tip morphogenesis, and plasma membrane fusion\; is expressed in the epithelial system, the excretory gland cell, the male, and the vulva\; human orthologs of this gene are implicated in Alzheimer's disease."
"11","WBGene00000051","R01E6.4","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neurotransmitter receptor","acr-12 is an ortholog of human CHRNA6 (cholinergic receptor nicotinic alpha 6 subunit), CHRNB3 (cholinergic receptor nicotinic beta 3 subunit), and CHRNA4 (cholinergic receptor nicotinic alpha 4 subunit)\; exhibits acetylcholine-gated cation-selective channel activity\; is involved in calcium ion import across plasma membrane and regulation of muscle contraction\; localizes to the synapse\; is expressed in the nervous system\; human orthologs of this gene are implicated in autosomal dominant nocturnal frontal lobe epilepsy (multiple), congenital myasthenic syndrome (multiple), and multiple pterygium syndrome."
"12","WBGene00000082","C02B4.1","Proteolysis general","Proteolysis general: metallopeptidase","Proteolysis general: metallopeptidase","adt-1 is an ortholog of human ADAMTS14 (ADAM metallopeptidase with thrombospondin type 1 motif 14), ADAMTS2 (ADAM metallopeptidase with thrombospondin type 1 motif 2), and ADAMTS3 (ADAM metallopeptidase with thrombospondin type 1 motif 3)\; is predicted to have metal ion binding activity and metalloendopeptidase activity\; is expressed in several tissues, including the muscular system, the nervous system, and the vulva."
"13","WBGene00000111","T08B1.3","Metabolism","Metabolism: short chain dehydrogenase","Metabolism: short chain dehydrogenase","alh-5 is an ortholog of human ALDH3A1 (aldehyde dehydrogenase 3 A1), ALDH3A2 (aldehyde dehydrogenase 3 A2), and ALDH3B1 (aldehyde dehydrogenase 3 B1)\; is predicted to have oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor\; human orthologs of this gene are implicated in Sjogren-Larsson syndrome."
"14","WBGene00000149","C42D8.8","Development","Development: somatic","Development: somatic","apl-1 is an ortholog of human APLP1 and APLP2\; is predicted to have heparin binding activity and transition metal ion binding activity\; is involved in body morphogenesis, ecdysis, collagen and cuticulin-based cuticle, and nematode larval development\; localizes to the cytoplasmic vesicle, neuron projection, and neuronal cell body\; is expressed in several tissues, including the alimentary system, the epithelial system, the excretory cell, the nervous system, and the reproductive system\; is used to study Alzheimer's disease\; human orthologs of this gene are implicated in APP-related cerebral amyloid angiopathy and Alzheimer's disease."
"15","WBGene00000190","F45E4.1","Trafficking","Trafficking: ER/Golgi","Trafficking: ER/Golgi: ARF","arf-1.1 is an ortholog of human ARL11 (ADP ribosylation factor like GTPase 11), ARL14 (ADP ribosylation factor like GTPase 14), and RP11-302B13.5\; is predicted to have GTP binding activity\; is involved in endoplasmic reticulum unfolded protein response."
"16","WBGene00000191","F20D1.5","Pseudogene","Pseudogene","Pseudogene","arl-7 is enriched in the intestine based on RNA-seq and microarray studies\; is affected by several genes including clk-1, npr-1, and pgl-1 based on microarray and RNA-seq studies\; is affected by six chemicals including Sodium Chloride, Hydrolyzable Tannins, and Humic Substances based on RNA-seq and microarray studies."
